,demand,drybulb,dewpnt,date,month,hour,day_of_week,day_of_year,weekend,holiday_name,holiday
993368,608.0,15.0,10.0,3/1/2003,Mar,1,Sat,60,True,,False
993369,587.0,13.0,10.0,3/1/2003,Mar,2,Sat,60,True,,False
993370,578.0,12.0,8.0,3/1/2003,Mar,3,Sat,60,True,,False
993371,570.0,13.0,9.0,3/1/2003,Mar,4,Sat,60,True,,False
993372,574.0,15.0,11.0,3/1/2003,Mar,5,Sat,60,True,,False
993373,597.0,15.0,11.0,3/1/2003,Mar,6,Sat,60,True,,False
993374,637.0,16.0,12.0,3/1/2003,Mar,7,Sat,60,True,,False
993375,690.0,17.0,12.0,3/1/2003,Mar,8,Sat,60,True,,False
993376,749.0,17.0,12.0,3/1/2003,Mar,9,Sat,60,True,,False
993377,764.0,21.0,14.0,3/1/2003,Mar,10,Sat,60,True,,False
993378,759.0,27.0,16.0,3/1/2003,Mar,11,Sat,60,True,,False
993379,759.0,31.0,18.0,3/1/2003,Mar,12,Sat,60,True,,False
993380,737.0,33.0,19.0,3/1/2003,Mar,13,Sat,60,True,,False
993381,706.0,34.0,21.0,3/1/2003,Mar,14,Sat,60,True,,False
993382,694.0,36.0,21.0,3/1/2003,Mar,15,Sat,60,True,,False
993383,691.0,37.0,23.0,3/1/2003,Mar,16,Sat,60,True,,False
993384,702.0,37.0,23.0,3/1/2003,Mar,17,Sat,60,True,,False
993385,742.0,37.0,22.0,3/1/2003,Mar,18,Sat,60,True,,False
993386,781.0,37.0,24.0,3/1/2003,Mar,19,Sat,60,True,,False
993387,762.0,37.0,24.0,3/1/2003,Mar,20,Sat,60,True,,False
993388,743.0,36.0,26.0,3/1/2003,Mar,21,Sat,60,True,,False
993389,710.0,36.0,27.0,3/1/2003,Mar,22,Sat,60,True,,False
993390,651.0,36.0,27.0,3/1/2003,Mar,23,Sat,60,True,,False
993391,591.0,35.0,29.0,3/1/2003,Mar,24,Sat,60,True,,False
993392,558.0,34.0,32.0,3/2/2003,Mar,1,Sun,61,True,,False
993393,537.0,33.0,33.0,3/2/2003,Mar,2,Sun,61,True,,False
993394,527.0,34.0,33.0,3/2/2003,Mar,3,Sun,61,True,,False
993395,520.0,34.0,33.0,3/2/2003,Mar,4,Sun,61,True,,False
993396,524.0,34.0,33.0,3/2/2003,Mar,5,Sun,61,True,,False
993397,541.0,34.0,32.0,3/2/2003,Mar,6,Sun,61,True,,False
993398,572.0,35.0,33.0,3/2/2003,Mar,7,Sun,61,True,,False
993399,623.0,35.0,33.0,3/2/2003,Mar,8,Sun,61,True,,False
993400,700.0,34.0,34.0,3/2/2003,Mar,9,Sun,61,True,,False
993401,736.0,34.0,34.0,3/2/2003,Mar,10,Sun,61,True,,False
993402,756.0,35.0,35.0,3/2/2003,Mar,11,Sun,61,True,,False
993403,763.0,34.0,34.0,3/2/2003,Mar,12,Sun,61,True,,False
993404,760.0,35.0,35.0,3/2/2003,Mar,13,Sun,61,True,,False
993405,743.0,36.0,36.0,3/2/2003,Mar,14,Sun,61,True,,False
993406,724.0,36.0,36.0,3/2/2003,Mar,15,Sun,61,True,,False
993407,714.0,36.0,36.0,3/2/2003,Mar,16,Sun,61,True,,False
993408,728.0,36.0,36.0,3/2/2003,Mar,17,Sun,61,True,,False
993409,758.0,36.0,36.0,3/2/2003,Mar,18,Sun,61,True,,False
993410,788.0,35.0,35.0,3/2/2003,Mar,19,Sun,61,True,,False
993411,770.0,36.0,35.0,3/2/2003,Mar,20,Sun,61,True,,False
993412,742.0,37.0,31.0,3/2/2003,Mar,21,Sun,61,True,,False
993413,690.0,36.0,30.0,3/2/2003,Mar,22,Sun,61,True,,False
993414,620.0,35.0,28.0,3/2/2003,Mar,23,Sun,61,True,,False
993415,583.0,27.0,20.0,3/2/2003,Mar,24,Sun,61,True,,False
993416,564.0,19.0,9.0,3/3/2003,Mar,1,Mon,62,False,,False
993417,558.0,11.0,0.0,3/3/2003,Mar,2,Mon,62,False,,False
993418,565.0,2.0,-11.0,3/3/2003,Mar,3,Mon,62,False,,False
993419,573.0,-2.0,-16.0,3/3/2003,Mar,4,Mon,62,False,,False
993420,598.0,-5.0,-19.0,3/3/2003,Mar,5,Mon,62,False,,False
993421,664.0,-7.0,-21.0,3/3/2003,Mar,6,Mon,62,False,,False
993422,782.0,-9.0,-22.0,3/3/2003,Mar,7,Mon,62,False,,False
993423,833.0,-10.0,-23.0,3/3/2003,Mar,8,Mon,62,False,,False
993424,854.0,-9.0,-23.0,3/3/2003,Mar,9,Mon,62,False,,False
993425,869.0,-8.0,-23.0,3/3/2003,Mar,10,Mon,62,False,,False
993426,867.0,-6.0,-21.0,3/3/2003,Mar,11,Mon,62,False,,False
993427,874.0,-4.0,-20.0,3/3/2003,Mar,12,Mon,62,False,,False
993428,863.0,-2.0,-17.0,3/3/2003,Mar,13,Mon,62,False,,False
993429,849.0,0.0,-15.0,3/3/2003,Mar,14,Mon,62,False,,False
993430,832.0,2.0,-13.0,3/3/2003,Mar,15,Mon,62,False,,False
993431,820.0,4.0,-12.0,3/3/2003,Mar,16,Mon,62,False,,False
993432,828.0,5.0,-12.0,3/3/2003,Mar,17,Mon,62,False,,False
993433,861.0,4.0,-14.0,3/3/2003,Mar,18,Mon,62,False,,False
993434,909.0,4.0,-15.0,3/3/2003,Mar,19,Mon,62,False,,False
993435,891.0,2.0,-15.0,3/3/2003,Mar,20,Mon,62,False,,False
993436,881.0,3.0,-15.0,3/3/2003,Mar,21,Mon,62,False,,False
993437,852.0,-1.0,-16.0,3/3/2003,Mar,22,Mon,62,False,,False
993438,765.0,-2.0,-17.0,3/3/2003,Mar,23,Mon,62,False,,False
993439,708.0,-4.0,-17.0,3/3/2003,Mar,24,Mon,62,False,,False
993440,672.0,-5.0,-16.0,3/4/2003,Mar,1,Tue,63,False,,False
993441,664.0,-4.0,-15.0,3/4/2003,Mar,2,Tue,63,False,,False
993442,652.0,-6.0,-14.0,3/4/2003,Mar,3,Tue,63,False,,False
993443,650.0,-7.0,-15.0,3/4/2003,Mar,4,Tue,63,False,,False
993444,663.0,-6.0,-14.0,3/4/2003,Mar,5,Tue,63,False,,False
993445,716.0,-4.0,-13.0,3/4/2003,Mar,6,Tue,63,False,,False
993446,821.0,1.0,-12.0,3/4/2003,Mar,7,Tue,63,False,,False
993447,865.0,3.0,-12.0,3/4/2003,Mar,8,Tue,63,False,,False
993448,874.0,5.0,-11.0,3/4/2003,Mar,9,Tue,63,False,,False
993449,870.0,8.0,-8.0,3/4/2003,Mar,10,Tue,63,False,,False
993450,864.0,10.0,-5.0,3/4/2003,Mar,11,Tue,63,False,,False
993451,870.0,15.0,-1.0,3/4/2003,Mar,12,Tue,63,False,,False
993452,847.0,18.0,4.0,3/4/2003,Mar,13,Tue,63,False,,False
993453,833.0,21.0,9.0,3/4/2003,Mar,14,Tue,63,False,,False
993454,814.0,23.0,11.0,3/4/2003,Mar,15,Tue,63,False,,False
993455,811.0,25.0,13.0,3/4/2003,Mar,16,Tue,63,False,,False
993456,817.0,26.0,14.0,3/4/2003,Mar,17,Tue,63,False,,False
993457,838.0,27.0,15.0,3/4/2003,Mar,18,Tue,63,False,,False
993458,874.0,28.0,17.0,3/4/2003,Mar,19,Tue,63,False,,False
993459,856.0,29.0,17.0,3/4/2003,Mar,20,Tue,63,False,,False
993460,831.0,29.0,17.0,3/4/2003,Mar,21,Tue,63,False,,False
993461,785.0,30.0,17.0,3/4/2003,Mar,22,Tue,63,False,,False
993462,705.0,31.0,19.0,3/4/2003,Mar,23,Tue,63,False,,False
993463,643.0,32.0,20.0,3/4/2003,Mar,24,Tue,63,False,,False
993464,601.0,32.0,21.0,3/5/2003,Mar,1,Wed,64,False,,False
993465,581.0,32.0,23.0,3/5/2003,Mar,2,Wed,64,False,,False
993466,570.0,32.0,24.0,3/5/2003,Mar,3,Wed,64,False,,False
993467,571.0,32.0,25.0,3/5/2003,Mar,4,Wed,64,False,,False
993468,586.0,32.0,25.0,3/5/2003,Mar,5,Wed,64,False,,False
993469,641.0,31.0,25.0,3/5/2003,Mar,6,Wed,64,False,,False
993470,761.0,31.0,27.0,3/5/2003,Mar,7,Wed,64,False,,False
993471,804.0,32.0,28.0,3/5/2003,Mar,8,Wed,64,False,,False
993472,817.0,31.0,28.0,3/5/2003,Mar,9,Wed,64,False,,False
993473,814.0,30.0,30.0,3/5/2003,Mar,10,Wed,64,False,,False
993474,817.0,31.0,29.0,3/5/2003,Mar,11,Wed,64,False,,False
993475,830.0,29.0,29.0,3/5/2003,Mar,12,Wed,64,False,,False
993476,824.0,24.0,24.0,3/5/2003,Mar,13,Wed,64,False,,False
993477,817.0,23.0,23.0,3/5/2003,Mar,14,Wed,64,False,,False
993478,798.0,22.0,22.0,3/5/2003,Mar,15,Wed,64,False,,False
993479,795.0,22.0,22.0,3/5/2003,Mar,16,Wed,64,False,,False
993480,809.0,21.0,21.0,3/5/2003,Mar,17,Wed,64,False,,False
993481,829.0,21.0,21.0,3/5/2003,Mar,18,Wed,64,False,,False
993482,853.0,21.0,21.0,3/5/2003,Mar,19,Wed,64,False,,False
993483,832.0,22.0,22.0,3/5/2003,Mar,20,Wed,64,False,,False
993484,809.0,22.0,22.0,3/5/2003,Mar,21,Wed,64,False,,False
993485,764.0,22.0,21.0,3/5/2003,Mar,22,Wed,64,False,,False
